Training Metrics,,,
Variable: 行人侧,MAE: 3.90275930612556e-14,RMSE: 1.4814387303488963e-13,R2: 1.0
Variable: 呼吸高,MAE: 1.1698839361836873e-14,RMSE: 4.1494106171166624e-14,R2: 1.0
Variable: 驾驶员,MAE: 6.347186397700295e-15,RMSE: 9.740302271276365e-15,R2: 1.0
,,,
Testing Metrics,,,
Variable: 行人侧,MAE: 2.6203412972760673e-05,RMSE: 4.774843817271564e-05,R2: 0.5204393643736538
Variable: 呼吸高,MAE: 1.7029671216021765e-05,RMSE: 2.8152604365182974e-05,R2: 0.35700299898242005
Variable: 驾驶员,MAE: 4.98645190938945e-05,RMSE: 6.164119565393594e-05,R2: 0.21574587781178045
