Training Metrics,,,
Variable: 行人侧,MAE: 1.1390058596653662e-05,RMSE: 1.7725114190471424e-05,R2: 0.931266460208353
Variable: 呼吸高,MAE: 7.857042888378961e-06,RMSE: 1.0389642312699195e-05,R2: 0.8994628708874003
Variable: 驾驶员,MAE: 2.9684974206710222e-05,RMSE: 3.8270819045468144e-05,R2: 0.6521448095452682
,,,
Testing Metrics,,,
Variable: 行人侧,MAE: 1.3940826020012383e-05,RMSE: 2.2201469713382606e-05,R2: 0.9006049708334878
Variable: 呼吸高,MAE: 9.516327100032952e-06,RMSE: 1.2731018945109806e-05,R2: 0.8795473787059056
Variable: 驾驶员,MAE: 3.976448166198707e-05,RMSE: 4.9665329863614816e-05,R2: 0.4447202627572293
